matchId,timestamp,clubid,passa,passc,ppg,ppo,shots,toa,detailsname,detailsclubId,clubid,playerid,brksavepct,brksaves,brkshots,dsaves,ga,gaa,pensavepct,pensaves,penshots,pkclearzone,pokechecks,savepct,saves,shots,soperiods,opponentClubId,position,posSorted,ratingDefense,ratingOffense,ratingTeamplay,assists,bs,deflections,fol,fopct,fow,giveaways,goals,gwg,hits,interceptions,passattempts,passes,passpct,penaltiesdrawn,pim,pkclearzone,plusmin,possession,ppg,saucerpasses,shg,shotattempts,shotonnetpct,shotpct,shots,takeaways,toiseconds,playername
2.28287E+12,1662692538,149878,127,90,1,1,23,455,NZHL Drunk Nuns,149878,150265,172588654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149878,defenseMen,1,35,65,55,1,1,0,0,0,0,8,0,0,1,9,14,9,64.29,1,2,0,-7,188,0,0,0,2,0,0,0,5,3551,Ghost893
2.28287E+12,1662692538,150265,81,56,0,2,8,210,NZHL DADBODSQUAD,150265,150265,358520901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149878,leftWing,4,45,70,70,0,0,0,0,0,0,12,1,0,2,4,12,7,58.33,1,0,0,-7,198,0,0,0,3,100,33.33,3,4,3551,CheekSeeker5996
2.28287E+12,1662692538,,,,,,,,,,150265,361133714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149878,rightWing,3,45,65,45,1,0,0,0,0,0,3,0,0,2,5,18,13,72.22,0,2,0,-7,136,0,0,0,2,50,0,1,1,3549,Bauer l 43 l
2.28287E+12,1662692538,,,,,,,,,,150265,1805084429,0,0,0,2,11,11.19,0,0,1,0,1,0.52,12,23,0,149878,goalie,0,75,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3551,Prailos
2.28287E+12,1662692538,,,,,,,,,,150265,1819229273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149878,center,5,40,70,70,0,1,0,15,44.44,12,14,1,0,5,3,6,5,83.33,0,0,0,-6,135,0,0,0,4,75,33.33,3,3,3546,NpL Pensfan
2.28287E+12,1662692538,,,,,,,,,,150265,1821779852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149878,defenseMen,2,10,75,95,1,2,0,0,0,0,10,0,0,8,7,29,21,72.41,0,0,0,-7,152,0,0,0,0,0,0,0,5,3551,The Dude5993
2.28287E+12,1662692538,,,,,,,,,,149878,181852213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150265,center,5,80,100,80,5,0,0,12,57.14,16,12,1,0,1,8,22,15,68.18,0,0,0,7,271,0,0,0,5,60,33.33,3,4,3551,Rubberducky x41
2.28287E+12,1662692538,,,,,,,,,,149878,201328705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150265,defenseMen,2,55,100,60,4,0,0,0,0,0,7,0,0,0,3,20,15,75,0,0,0,7,116,0,0,0,4,50,0,2,3,3551,ViraL8878
2.28287E+12,1662692538,,,,,,,,,,149878,220540195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150265,defenseMen,1,65,100,65,4,1,0,0,0,0,10,0,0,2,12,27,22,81.48,0,0,1,7,244,0,0,0,2,0,0,0,3,3551,coharent killer
2.28287E+12,1662692538,,,,,,,,,,149878,221512447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150265,rightWing,3,75,100,65,4,0,0,0,0,0,11,4,0,3,6,27,17,62.96,2,2,1,6,220,0,1,0,7,71.43,80,5,4,3432,SophisticatedX
2.28287E+12,1662692538,,,,,,,,,,149878,253113097,0,0,0,0,2,2.03,0,0,0,0,1,0.75,6,8,0,150265,goalie,0,65,45,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3551,Pens71Fan
2.28287E+12,1662692538,,,,,,,,,,149878,1330154083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150265,leftWing,4,55,100,50,3,0,0,0,0,0,6,6,0,1,4,31,21,67.74,0,2,0,7,197,1,1,1,11,90.91,60,10,2,3432,Giroux
2.28612E+12,1662690709,149878,122,83,0,2,24,478,NZHL Drunk Nuns,149878,150265,172588654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149878,defenseMen,1,90,55,75,0,1,0,0,0,0,8,0,0,2,10,13,9,69.23,2,0,1,-3,177,0,0,0,1,100,0,1,5,3600,Ghost893
2.28612E+12,1662690709,150265,62,36,0,1,8,159,NZHL DADBODSQUAD,150265,150265,358520901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149878,leftWing,4,60,55,70,0,0,0,0,0,0,12,0,0,4,6,9,5,55.56,0,0,0,-3,156,0,0,0,4,50,0,2,4,3600,CheekSeeker5996
2.28612E+12,1662690709,,,,,,,,,,150265,361133714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149878,rightWing,3,65,55,60,0,0,0,1,0,0,3,0,0,1,2,11,7,63.64,0,0,2,-3,70,0,0,0,0,0,0,0,2,3600,Bauer l 43 l
